Date,THREATS_GPR_AI,ACTS_GPR_AI,GPR_AI,GPR_AER,GPR_OIL,GPR_NONOIL,GPR_OIL_MiddleEast,GPR_OIL_Russia,GPR_OIL_USA,GPR_OIL_Venezuela,GPR_OIL_Africa,GPR_OIL_Americas,GPR_OIL_Asia,GPR_OIL_NorthSea
2020-07-11,101.6,61.64,82.67,43.13,0.0,88.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-12,56.56,53.96,52.53,30.21,52.41,52.54,52.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-13,57.14,63.84,71.64,84.09,218.87,62.01,109.43,0.0,0.0,0.0,0.0,109.43,109.43,0.0
2020-07-14,74.99,79.62,81.36,95.51,165.72,75.84,0.0,0.0,0.0,82.86,0.0,0.0,165.72,0.0
2020-07-15,97.69,33.02,67.25,77.02,160.37,61.16,80.18,0.0,0.0,80.18,0.0,0.0,80.18,0.0
2020-07-16,76.05,16.07,47.88,0.0,0.0,51.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-17,110.65,37.32,75.29,48.21,0.0,80.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-18,65.93,28.44,53.27,68.22,118.37,49.01,118.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-19,23.16,26.34,26.17,9.83,0.0,27.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-20,21.03,49.76,42.02,139.28,120.83,36.87,120.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-21,91.77,77.55,89.37,115.77,175.76,83.72,75.33,0.0,0.0,0.0,100.43,0.0,75.33,0.0
2020-07-22,113.41,63.53,98.45,99.57,74.04,100.05,0.0,0.0,0.0,0.0,0.0,0.0,74.04,0.0
2020-07-23,89.73,52.53,82.39,61.9,0.0,87.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-24,73.66,37.66,60.93,75.29,0.0,64.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-25,122.72,97.57,107.01,65.54,227.45,99.14,0.0,113.73,113.73,0.0,113.73,0.0,0.0,0.0
2020-07-26,53.44,52.69,49.2,49.16,0.0,52.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-27,77.76,76.66,91.39,90.34,0.0,97.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
