symbol,period_q,assets,cfo,current_liab,liabilities,year,q,pidx,avg_assets,cfo_assets,leverage,log_assets,liab_ratio,HL67,Threat,Acts,Threat_z,Acts_z
VE1,2021Q3,37052548172.0,-2187095422.0,2152035264.0,2152035264.0,2021,3,8087,36468215129.5,-0.05997264780394494,0.05808062792362166,24.335602962895706,0.05808062792362166,0,85.44021739130434,119.40065217391304,-1.0042188942871753,-0.43536857209311014
VE1,2021Q4,36740697767.0,-7075255118.0,1681427788.0,1681427788.0,2021,4,8088,36896622969.5,-0.191758880585051,0.04576472114555853,24.327150908578087,0.04576472114555853,0,82.0075,66.69597826086957,-1.0896872813860612,-1.3421785898755563
VE1,2022Q1,34685885115.0,5798758788.0,-378529015.0,-378529015.0,2022,1,8089,35713291441.0,0.1623697663817914,-0.010913056240167968,24.269598672126094,-0.010913056240167968,0,157.0208888888889,240.22233333333332,0.7780089569922162,1.6434282917570273
VE1,2022Q2,34253582577.0,-566326674.0,748518623.0,748518623.0,2022,2,8090,34469733846.0,-0.016429679339276904,0.021852272570828904,24.257056996972686,0.021852272570828904,0,121.56472527472526,226.53725274725275,-0.10478469345312412,1.4079697024468536
VE1,2022Q3,31178028706.0,-1361282366.0,446502400.0,446502400.0,2022,3,8091,32715805641.5,-0.04160931816617755,0.014321059365567703,24.1629794755498,0.014321059365567703,0,127.40097826086956,178.60108695652173,0.04052733563799561,0.5832042286136634
VE1,2022Q4,31564238823.0,536673260.0,1164682954.0,1164682954.0,2022,4,8092,31371133764.5,0.01710723189122692,0.03689881325924221,24.175290633886295,0.03689881325924221,0,122.10489130434782,169.29152173913045,-0.09133554688650089,0.4230285482886556
VE1,2023Q1,30285105102.0,-792538326.0,783235690.0,783235690.0,2023,1,8093,30924671962.5,-0.02562802693464464,0.025862076006078507,24.133921847804206,0.025862076006078507,0,121.84666666666668,146.85122222222222,-0.09776486825962302,0.03693208106556696
VE1,2023Q2,29244020719.0,-2449039492.0,1157335500.0,1157335500.0,2023,2,8094,29764562910.5,-0.08228037815855364,0.03957511558074067,24.09894096986444,0.03957511558074067,0,118.70505494505494,131.87516483516484,-0.17598525640380488,-0.2207384034890774
VE1,2023Q3,29287830581.0,1250194361.0,2214755824.0,2214755824.0,2023,3,8095,29265925650.0,0.04271842879502429,0.07562034401540094,24.100437928160073,0.07562034401540094,0,114.28793478260869,123.60293478260868,-0.28596347274709677,-0.3630662185408366
VE1,2023Q4,28544102507.0,-459028883.0,1422749955.0,1422749955.0,2023,4,8096,28915966544.0,-0.015874582034168506,0.04984391976069637,24.074716184530107,0.04984391976069637,0,178.45260869565217,264.0373913043478,1.3116195971455236,2.053178159061321
VE1,2024Q1,27609593301.0,1068069892.0,1527194473.0,1527194473.0,2024,1,8097,28076847904.0,0.038040947319012836,0.05531390688557104,24.041429132645977,0.05531390688557104,0,152.9297802197802,187.75604395604395,0.6761478307950123,0.7407197979772323
