symbol,report,period_q,item_id,value
ADC,balance_sheet,2018Q3,BS_SHORT_TERM_LIABILITIES,97751559133.0
ADC,balance_sheet,2018Q2,BS_TOTAL_ASSETS,88593927145.0
ADC,balance_sheet,2018Q2,BS_TOTAL_LIABILITIES,42865617057.0
ADC,balance_sheet,2018Q2,BS_SHORT_TERM_LIABILITIES,42865617057.0
ADC,balance_sheet,2018Q1,BS_TOTAL_ASSETS,105493567445.0
ADC,balance_sheet,2018Q1,BS_TOTAL_LIABILITIES,54654450257.0
ADC,balance_sheet,2018Q1,BS_SHORT_TERM_LIABILITIES,54654450257.0
ADC,cash_flow,2025Q4,CF_NET_CASH_FLOWS_FROM_OPERATING_ACTIVITIES,19289483968.0
ADC,cash_flow,2025Q3,CF_NET_CASH_FLOWS_FROM_OPERATING_ACTIVITIES,-1364285651.0
ADC,cash_flow,2025Q2,CF_NET_CASH_FLOWS_FROM_OPERATING_ACTIVITIES,-7960405561.0
ADC,cash_flow,2025Q1,CF_NET_CASH_FLOWS_FROM_OPERATING_ACTIVITIES,-11807117808.0
ADC,cash_flow,2024Q4,CF_NET_CASH_FLOWS_FROM_OPERATING_ACTIVITIES,25113933326.0
ADC,cash_flow,2024Q3,CF_NET_CASH_FLOWS_FROM_OPERATING_ACTIVITIES,7162524445.0
ADC,cash_flow,2024Q2,CF_NET_CASH_FLOWS_FROM_OPERATING_ACTIVITIES,-289935984.0
ADC,cash_flow,2024Q1,CF_NET_CASH_FLOWS_FROM_OPERATING_ACTIVITIES,-2525402415.0
ADC,cash_flow,2023Q4,CF_NET_CASH_FLOWS_FROM_OPERATING_ACTIVITIES,25940212561.0
ADC,cash_flow,2023Q3,CF_NET_CASH_FLOWS_FROM_OPERATING_ACTIVITIES,4840777528.0
ADC,cash_flow,2023Q2,CF_NET_CASH_FLOWS_FROM_OPERATING_ACTIVITIES,-3625486345.0
ADC,cash_flow,2023Q1,CF_NET_CASH_FLOWS_FROM_OPERATING_ACTIVITIES,813290706.0
ADC,cash_flow,2022Q4,CF_NET_CASH_FLOWS_FROM_OPERATING_ACTIVITIES,19969863124.0
ADC,cash_flow,2022Q3,CF_NET_CASH_FLOWS_FROM_OPERATING_ACTIVITIES,-7170829813.0
ADC,cash_flow,2022Q2,CF_NET_CASH_FLOWS_FROM_OPERATING_ACTIVITIES,-139509418.0
ADC,cash_flow,2022Q1,CF_NET_CASH_FLOWS_FROM_OPERATING_ACTIVITIES,-5409491251.0
ADC,cash_flow,2021Q4,CF_NET_CASH_FLOWS_FROM_OPERATING_ACTIVITIES,5699503702.0
ADC,cash_flow,2021Q3,CF_NET_CASH_FLOWS_FROM_OPERATING_ACTIVITIES,-6015658972.0
ADC,cash_flow,2021Q2,CF_NET_CASH_FLOWS_FROM_OPERATING_ACTIVITIES,-13933276431.0
ADC,cash_flow,2021Q1,CF_NET_CASH_FLOWS_FROM_OPERATING_ACTIVITIES,-7338564803.0
ADC,cash_flow,2020Q4,CF_NET_CASH_FLOWS_FROM_OPERATING_ACTIVITIES,26411916516.0
ADC,cash_flow,2020Q3,CF_NET_CASH_FLOWS_FROM_OPERATING_ACTIVITIES,4233200273.0
ADC,cash_flow,2020Q2,CF_NET_CASH_FLOWS_FROM_OPERATING_ACTIVITIES,-7253932574.0
ADC,cash_flow,2020Q1,CF_NET_CASH_FLOWS_FROM_OPERATING_ACTIVITIES,-15320713098.0
