symbol,pre_quarters,baseline_liab_ratio,HL67
SHP,8,0.14098066263815773,0
SHS,8,0.43309711484277835,0
SJ1,8,0.564056162644594,1
SJD,8,0.18469317452767764,0
SJE,8,0.36639830289337627,0
SJS,8,0.4804059023352054,1
SKG,8,0.021109369307124544,0
SLS,8,0.4086043508796903,0
SMA,8,0.11719704603264364,0
SMB,8,0.3682549069973835,0
SMC,8,0.7257604991400933,1
SMN,8,0.5663749599138677,1
SMT,8,0.6451765895455268,1
SPM,8,0.21471343907555002,0
SRA,8,0.05237965301531844,0
SRC,8,0.2501464977418378,0
SRF,8,0.6948164235193598,1
SSI,8,0.5693848670851442,1
SSM,8,0.6169143129592981,1
ST8,8,0.25739472325465707,0
STC,8,0.375876026250845,0
STG,8,0.19394360322668927,0
STK,8,0.4162199785859628,0
STP,8,0.1520867490884018,0
SVC,8,0.5222796843689266,1
SVN,8,0.04508546289397036,0
SVT,8,0.008516429964979089,0
SZB,8,0.1444915359110076,0
SZC,8,0.09767620471922439,0
SZL,8,0.07333000064202069,0
TA9,8,0.8916967981257725,1
TBC,8,0.058074223417307336,0
TCH,8,0.10276449810129326,0
TCL,8,0.23001266928780909,0
TCM,8,0.5127853312848463,1
TCO,8,0.0693424405509333,0
TCR,8,0.5759647474093196,1
TCT,8,0.0686148246842796,0
