symbol,liab_exp,wc_exp,inv_exp,recv_exp,fixed_exp,liab_exp_high,wc_exp_high,inv_exp_high,recv_exp_high,fixed_exp_high,double_exposure,physical_chain,receivable_heavy,rollover_assetlight,shock_amp_score,shock_amplifier,trade_credit_chain
D11,-0.5074214666916514,-0.7539291527928198,-0.8303360746400622,-0.2151413132419397,-0.6413455852070287,0,0,0,1,0,0,0,0,0,-1.2613506194844712,0,0
D2D,-0.9145881193243928,-0.3955164710543422,-0.8496552195850682,0.7460993758987478,-0.5818455136618019,0,0,0,1,0,0,0,1,0,-1.310104590378735,0,0
DAD,-0.9594606304474667,-0.5983018124226288,-0.719567001289796,-0.1054520950167961,-0.6439266995594914,0,0,0,1,0,0,0,0,0,-1.5577624428700956,0,0
DAE,-0.6676434373894394,-0.5450172360295587,-0.7719843507541078,0.1206563590224721,-0.6360725854477744,0,0,0,1,0,0,0,0,0,-1.212660673418998,0,0
DAH,-0.8360686642370703,-0.2612908207825015,-0.2202712577857341,-0.3511336801109056,-0.5987760312709384,0,0,0,1,0,0,0,0,0,-1.0973594850195717,0,0
DAT,0.3348366196105258,0.5397479305241556,0.4727491820290793,0.1749114162817534,-0.3480633814817888,1,1,1,1,1,1,0,0,0,0.8745845501346814,1,0
DBC,1.3172708292425224,1.5462208205083612,1.4068788557684066,0.4758811173576213,-0.3636182184656353,1,1,1,1,1,1,1,1,0,2.8634916497508836,1,1
DBD,-0.6930205890707419,-0.4657761607835981,-0.595554844567942,-0.067706914196256,-0.5329697985824624,0,0,0,1,0,0,0,0,0,-1.15879674985434,0,0
DBT,-0.8115033972968818,-0.8774992692352317,-0.9214783497970033,-0.3994879005082614,-0.6481159353000615,0,0,0,0,0,0,0,0,0,-1.6890026665321135,0,0
DC2,-0.7173445060214858,-0.6043678890430652,-0.748186303450635,-0.029759141029892,-0.5832154128172761,0,0,0,1,0,0,0,0,0,-1.321712395064551,0,0
DC4,-0.4270076999867886,-0.8678534536176114,-0.8461983433310958,-0.4157752307385122,-0.591085596991504,0,0,0,0,0,0,0,0,0,-1.2948611536044,0,0
DCL,-0.1790225399395682,-0.4532963185925737,-0.5488624656784589,-0.2555807145422308,-0.5579561084113189,0,0,0,1,0,0,0,0,0,-0.6323188585321419,0,0
DCM,0.1169438289537252,-0.4098592991229589,-0.4523489529567202,-0.3274405589922767,0.3382554803625016,1,0,0,1,1,0,0,0,0,-0.2929154701692337,0,0
DGC,0.1625419090820742,-0.0765066086028676,0.0173319161915753,-0.1866887527492463,-0.1808205824734552,1,1,1,1,1,1,0,0,0,0.0860353004792066,0,0
DGW,0.9058447237200145,0.7633109794855047,0.3829753109998545,0.7837722243551881,-0.3496474145249496,1,1,1,1,1,1,0,1,0,1.6691557032055192,1,1
DHA,-0.4626377691301294,-0.5294368182436201,-0.6029344041571464,-0.126487359726375,-0.5173560774654484,0,0,0,1,0,0,0,0,0,-0.9920745873737495,0,0
DHC,-0.2217233315292869,-0.4645087661605689,-0.6506628960755248,0.0937088663762376,-0.3899143186844244,0,0,0,1,1,0,0,0,0,-0.6862320976898558,0,0
