symbol,pre_quarters,liab_ratio,nwc_tied_ratio,fixed_ratio,operating_margin,HighLiab_TopTercile,CashConversionTrap,DoubleExposure_TopTercile,FragileLowMarginFunding,AssetCommitmentMismatch
DPM,8,0.16092901135667426,0.14069771080976598,0.44970065168211354,0.08601337212277033,0,0,0,0,0
DPR,8,0.11105760633074406,0.05779555619738965,0.39544569787579825,0.21697747226239011,0,0,0,0,0
DQC,8,0.308624706675913,0.471407652111959,0.09250533871402983,0.06276019969939944,0,1,0,0,0
DRC,8,0.3575026545715642,0.33037445257677195,0.5123266076962598,0.05725087115108654,0,0,0,0,0
DRH,8,0.630237114930428,0.6729325000495856,0.0007215810241526745,0.6016850924773679,1,1,1,0,0
DRL,8,0.06588750788843278,0.08823334370125671,0.317607728652174,0.6262019127534473,0,0,0,0,0
DS3,8,0.11770826404613136,0.2612646219997401,0.22764513598598715,0.16518066933224324,0,0,0,0,0
DSN,8,0.10491830458682541,0.008169671574793898,0.018455025391235842,0.5278659268418154,0,0,0,0,0
DST,8,0.104288465031074,0.18122069583544118,0.4462286499000744,0.04532062155816284,0,0,0,0,0
DTA,8,0.3105286014044411,0.14159372985981464,0.029892022477712818,0.05896295716054343,0,0,0,0,0
DTD,8,0.43633189564433766,0.2692803858518416,0.09553739541810635,0.09479002469029989,0,0,0,0,0
DTL,8,0.5866428178823352,0.5453301596541007,0.19128758340790708,-0.009913295555647851,1,1,1,1,0
DTT,8,0.268266991526393,0.3724791342175979,0.47086426993817043,0.05298750993849501,0,0,0,0,0
DVP,8,0.08234051157981703,0.06180941140830883,0.21016949236276322,0.4755312176618678,0,0,0,0,0
DXG,8,0.3969767956889141,0.7223742806516291,0.005705029854696389,0.4178877402363882,0,1,0,0,0
DXP,8,0.05788681899710744,0.057836578464339795,0.06488289417617153,0.38912956694712797,0,0,0,0,0
DXV,8,0.25769455490986526,0.4825875994727895,0.11422103034431239,-0.015955977709018992,0,1,0,0,0
