shock,event_date,trade_date,horizon,group,treated_car,control_car,diff,p,n_t,n_c
THREATS_z,2023-07-10,2023-07-10,post1,CashConversionTrap,0.003262903283350119,0.0023900941478563835,0.0008728091354937356,0.8826848812197015,31,272
THREATS_z,2023-07-10,2023-07-10,post1,DoubleExposure_TopTercile,0.0023407384591389558,0.0025048472750830433,-0.00016410881594408752,0.9726660254498403,47,256
THREATS_z,2023-07-10,2023-07-10,post1,FragileLowMarginFunding,0.006593660317657946,0.001976536368585473,0.004617123949072473,0.38745830746125026,33,270
THREATS_z,2023-07-10,2023-07-10,post1,AssetCommitmentMismatch,-0.0017848889188321754,0.0029829227136657552,-0.004767811632497931,0.42504335855772424,32,271
THREATS_z,2023-07-10,2023-07-10,post5,HighLiab_TopTercile,0.008733971855207943,0.013364810567597444,-0.0046308387123895015,0.43294102655762295,101,217
THREATS_z,2023-07-10,2023-07-10,post5,CashConversionTrap,0.024315277542676855,0.010455757514513374,0.01385952002816348,0.270481066938614,33,285
THREATS_z,2023-07-10,2023-07-10,post5,DoubleExposure_TopTercile,0.012572067126042778,0.0117614569924452,0.0008106101335975772,0.9257212511520783,52,266
THREATS_z,2023-07-10,2023-07-10,post5,FragileLowMarginFunding,0.009561845683043727,0.012191732645230758,-0.002629886962187031,0.8042053085580279,36,282
THREATS_z,2023-07-10,2023-07-10,post5,AssetCommitmentMismatch,0.003469387605033132,0.012836624640502054,-0.009367237035468922,0.4368030648724282,32,286
THREATS_z,2023-07-10,2023-07-10,post20,HighLiab_TopTercile,0.03243208677485341,0.03943379241463638,-0.0070017056397829736,0.5674743174177012,103,221
THREATS_z,2023-07-10,2023-07-10,post20,CashConversionTrap,0.09979282639520823,0.030110686564957634,0.0696821398302506,0.004440586995157539,33,291
THREATS_z,2023-07-10,2023-07-10,post20,DoubleExposure_TopTercile,0.05355550597706141,0.03401081640096048,0.019544689576100928,0.28998521276638334,53,271
THREATS_z,2023-07-10,2023-07-10,post20,FragileLowMarginFunding,0.0218965610373424,0.039121864111459084,-0.017225303074116686,0.28865906594807966,36,288
THREATS_z,2023-07-10,2023-07-10,post20,AssetCommitmentMismatch,0.016506372526542943,0.03947660664587387,-0.02297023411933093,0.09892932914147742,32,292
THREATS_z,2023-07-10,2023-07-10,pre5,HighLiab_TopTercile,0.014538604682683084,0.005262495556159252,0.00927610912652383,0.1445618356818272,99,219
THREATS_z,2023-07-10,2023-07-10,pre5,CashConversionTrap,-0.0011537862098179661,0.009227660825643842,-0.010381447035461807,0.12410537913741433,33,285
THREATS_z,2023-07-10,2023-07-10,pre5,DoubleExposure_TopTercile,0.013803375575259083,0.007095670192617713,0.00670770538264137,0.38977515742245183,50,268
THREATS_z,2023-07-10,2023-07-10,pre5,FragileLowMarginFunding,0.012813821659571725,0.007555002874609643,0.005258818784962082,0.5772087463304044,36,282
THREATS_z,2023-07-10,2023-07-10,pre5,AssetCommitmentMismatch,0.01575662302710567,0.00729928829901091,0.008457334728094758,0.4466462547495615,32,286
ACTS_z,2020-04-07,2020-04-07,post1,HighLiab_TopTercile,0.008898489954618304,0.00631137372527392,0.0025871162293443833,0.6154938602565523,82,201
ACTS_z,2020-04-07,2020-04-07,post1,CashConversionTrap,0.005949677739109896,0.007187880474899889,-0.001238202735789993,0.8960564053747339,29,254
ACTS_z,2020-04-07,2020-04-07,post1,DoubleExposure_TopTercile,0.012687639509202193,0.006080420894905671,0.006607218614296522,0.3784756065856606,42,241
ACTS_z,2020-04-07,2020-04-07,post1,FragileLowMarginFunding,0.0024295188335222867,0.007569552030275039,-0.005140033196752752,0.5759549401526558,28,255
